symbol,date,open,high,low,close,volume,factor
JNJ,2021-12-29,170.00,171.99,169.91,171.55,3662000,1
JNJ,2021-12-30,172.12,172.88,171.75,172.31,4231800,1
JNJ,2021-12-31,172.53,172.68,171.03,171.07,4409500,1
JNJ,2022-01-03,170.21,171.60,169.10,171.54,6012200,1
JNJ,2022-01-04,171.06,172.29,170.60,171.08,6748400,1
JNJ,2022-01-05,172.00,173.47,171.62,172.22,7016100,1
JNJ,2022-01-06,172.15,172.50,170.80,171.63,7301600,1
JNJ,2022-01-07,171.46,174.30,171.13,173.95,6986000,1
JNJ,2022-01-10,173.69,173.69,172.16,173.09,7698400,1
JNJ,2022-01-11,172.99,173.39,170.11,171.25,8341100,1
JNJ,2022-01-12,169.61,170.08,168.34,169.79,8116200,1
JNJ,2022-01-13,169.00,170.42,168.46,168.76,6159400,1
JNJ,2022-01-14,168.63,168.65,167.15,167.84,5847700,1
JNJ,2022-01-18,167.10,167.72,166.01,167.10,7815600,1
JNJ,2022-01-19,167.20,168.72,166.32,166.58,5926500,1
JNJ,2022-01-20,167.29,167.86,164.93,165.25,6011300,1
JNJ,2022-01-21,166.19,167.99,164.47,164.87,10550300,1
JNJ,2022-01-24,164.00,164.17,158.26,162.97,14054600,1
JNJ,2022-01-25,162.36,168.41,161.58,167.63,14081200,1
JNJ,2022-01-26,167.54,169.22,166.23,168.38,9963200,1
JNJ,2022-01-27,169.39,171.91,169.00,170.59,9066700,1
JNJ,2022-01-28,170.86,171.84,169.30,171.79,9783100,1
JNJ,2022-01-31,171.50,172.62,170.82,172.29,8054800,1
JNJ,2022-02-01,171.74,171.98,169.43,170.88,8154700,1
JNJ,2022-02-02,169.65,172.99,169.65,172.77,7382800,1
JNJ,2022-02-03,172.26,173.62,171.04,172.76,6240400,1
JNJ,2022-02-04,171.00,172.98,170.12,171.63,6392200,1
JNJ,2022-02-07,171.41,171.74,170.01,171.06,6065700,1
JNJ,2022-02-08,171.02,172.05,170.48,171.51,6296100,1
JNJ,2022-02-09,172.07,172.24,171.25,171.49,5387500,1
JNJ,2022-02-10,171.21,171.22,169.30,169.42,10355300,1
JNJ,2022-02-11,169.12,170.15,167.54,167.71,13125300,1
JNJ,2022-02-14,167.71,167.97,163.81,165.60,8967600,1
JNJ,2022-02-15,166.13,168.10,166.01,167.31,6631400,1
JNJ,2022-02-16,166.49,167.84,165.71,167.21,8482400,1
JNJ,2022-02-17,167.21,167.45,164.92,166.19,6227600,1
JNJ,2022-02-18,164.98,165.36,162.94,163.36,6423200,1
JNJ,2022-02-22,163.57,163.74,160.44,161.14,6868900,1
JNJ,2022-02-23,161.51,162.64,160.85,161.22,8016900,1
JNJ,2022-02-24,159.78,160.13,155.72,158.14,12883400,1
JNJ,2022-02-25,160.00,166.99,159.70,166.00,11340400,1
JNJ,2022-02-28,162.87,165.18,162.38,164.57,9373500,1
JNJ,2022-03-01,163.04,164.75,162.41,164.00,8737800,1
JNJ,2022-03-02,164.41,167.63,164.04,166.04,6793300,1
JNJ,2022-03-03,166.70,169.34,166.32,168.48,7333700,1
JNJ,2022-03-04,167.64,169.86,166.85,169.48,6302500,1
JNJ,2022-03-07,168.30,173.12,167.36,172.21,11663400,1
JNJ,2022-03-08,172.04,173.12,168.51,168.72,11100300,1
JNJ,2022-03-09,170.01,170.23,167.89,169.36,7248200,1
JNJ,2022-03-10,168.56,170.15,168.08,169.66,6171400,1
JNJ,2022-03-11,169.13,171.46,169.02,169.35,5188000,1
JNJ,2022-03-14,170.68,174.12,170.35,171.69,7729500,1
JNJ,2022-03-15,173.33,176.52,172.55,176.14,10554400,1
JNJ,2022-03-16,175.46,176.95,172.56,174.52,9603300,1
JNJ,2022-03-17,175.21,176.84,174.20,176.80,7472100,1
JNJ,2022-03-18,177.00,177.00,173.66,174.84,13809500,1
JNJ,2022-03-21,174.66,177.16,174.32,175.83,7574900,1
JNJ,2022-03-22,175.83,176.37,173.91,175.00,8442100,1
JNJ,2022-03-23,175.23,175.54,174.09,174.34,5254200,1
JNJ,2022-03-24,175.00,175.54,174.07,175.24,5012300,1
JNJ,2022-03-25,175.69,177.70,175.22,176.92,4809500,1
JNJ,2022-03-28,176.65,178.18,176.35,177.83,5604200,1
JNJ,2022-03-29,178.62,179.40,176.80,177.74,5933400,1
JNJ,2022-03-30,178.44,179.86,177.68,179.59,6277600,1
JNJ,2022-03-31,179.59,180.21,176.98,177.23,11490400,1
JNJ,2022-04-01,177.05,178.43,175.60,178.19,6525600,1
JNJ,2022-04-04,178.19,178.19,175.52,176.47,6860600,1
JNJ,2022-04-05,176.47,179.65,176.29,177.61,7446100,1
JNJ,2022-04-06,179.39,182.60,178.62,182.23,10330900,1
JNJ,2022-04-07,181.67,182.95,180.23,181.76,7385200,1
JNJ,2022-04-08,181.33,183.19,180.43,182.12,7144500,1
JNJ,2022-04-11,183.00,184.20,179.60,179.84,5932000,1
JNJ,2022-04-12,179.20,180.81,178.20,179.90,5957500,1
JNJ,2022-04-13,179.90,180.84,179.24,180.66,5643100,1
JNJ,2022-04-14,180.00,181.40,179.73,179.90,6188200,1
JNJ,2022-04-18,179.73,180.39,176.74,177.66,6318700,1
JNJ,2022-04-19,180.72,185.94,179.95,183.08,14380800,1
JNJ,2022-04-20,182.24,184.32,181.90,183.89,8044900,1
JNJ,2022-04-21,183.93,184.87,182.56,183.36,6969200,1
JNJ,2022-04-22,182.47,183.15,181.38,181.54,8003600,1
JNJ,2022-04-25,182.34,186.69,182.10,186.01,11176500,1
JNJ,2022-04-26,185.10,186.57,184.18,184.68,10190000,1
JNJ,2022-04-27,184.24,184.82,181.74,182.10,11090100,1
JNJ,2022-04-28,182.25,184.50,181.92,183.46,9403900,1
JNJ,2022-04-29,182.50,182.55,180.20,180.46,8463100,1
JNJ,2022-05-02,180.47,181.41,177.03,178.64,7145400,1
JNJ,2022-05-03,178.80,180.63,177.68,178.29,5898700,1
JNJ,2022-05-04,178.15,180.50,177.15,180.20,5923000,1
JNJ,2022-05-05,179.42,179.71,175.27,176.76,7089200,1
JNJ,2022-05-06,175.14,176.87,174.69,176.37,6434000,1
JNJ,2022-05-09,175.45,178.56,174.59,177.33,7855200,1
JNJ,2022-05-10,178.23,179.18,176.50,177.09,8186700,1
JNJ,2022-05-11,175.96,178.32,175.88,176.13,6138900,1
JNJ,2022-05-12,176.47,177.95,174.71,177.87,6898600,1
JNJ,2022-05-13,178.70,178.89,175.80,176.85,7732200,1
JNJ,2022-05-16,176.85,179.13,176.17,178.08,5516700,1
JNJ,2022-05-17,178.72,179.70,176.59,178.82,5751100,1
JNJ,2022-05-18,178.84,179.37,175.17,175.50,8608800,1
JNJ,2022-05-19,174.72,174.80,172.69,173.94,6874500,1
JNJ,2022-05-20,174.85,177.16,174.05,176.98,7522100,1
JNJ,2022-05-23,177.60,179.93,177.46,179.44,7040800,1
